id,sample,comment,type,sT,sP,expdataset,weight,phase.Gibbsite-H.DC.Gibbsite-H.UMC,comp.AlO(OH),unit,comp.H2O,unit,comp.NaCl,unit,comp.HCl,unit,comp.NaOH,unit,phase.aq_gen.pH,phase.aq_gen.IC.Al.Q,unit
131,Ben_131,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.133277,g,,,2.534,5.74116E-06,molal
132,Ben_132,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.133277,g,,,2.535,6.06736E-06,molal
133,Ben_133,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.133277,g,,,2.536,5.5847E-06,molal
134,Ben_134,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.133277,g,,,2.541,6.77642E-06,molal
135,Ben_135,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.072787,g,,,2.802,1.35519E-06,molal
136,Ben_136,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0664022,g,,,2.843,1.41254E-06,molal
137,Ben_137,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0314691,g,,,3.165,4.40555E-07,molal
138,Ben_138,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0314691,g,,,3.169,4.10204E-07,molal
139,Ben_139,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0104451,g,,,3.645,2.24905E-07,molal
140,Ben_140,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0102292,g,,,3.657,1.74985E-07,molal
141,Ben_141,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00556524,g,,,3.913,9.7051E-08,molal
142,Ben_142,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00498867,g,,,3.963,1.31522E-07,molal
143,Ben_143,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00247006,g,,,4.263,7.51623E-08,molal
144,Ben_144,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00211703,g,,,4.338,7.14496E-08,molal
145,Ben_145,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00162051,g,,,4.444,6.36796E-08,molal
146,Ben_146,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00134979,g,,,4.53,7.65597E-08,molal
147,Ben_147,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00132076,g,,,4.534,1.30017E-07,molal
148,Ben_148,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000909735,g,,,4.693,9.33254E-08,molal
149,Ben_149,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000575341,g,,,4.889,1.25314E-07,molal
150,Ben_150,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000575341,g,,,4.892,1.30918E-07,molal
151,Ben_151,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00052444,g,6.473,4.72063E-06,molal
152,Ben_152,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.000608331,g,6.542,5.06991E-06,molal
153,Ben_153,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.000659814,g,6.567,5.79429E-06,molal
154,Ben_154,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00132076,g,6.854,9.90832E-06,molal
155,Ben_155,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00134979,g,6.873,9.90832E-06,molal
156,Ben_156,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00384326,g,7.326,3.34965E-05,molal
157,Ben_157,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00671879,g,7.561,6.25173E-05,molal
158,Ben_158,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00685913,g,7.571,5.72796E-05,molal
159,Ben_159,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0104451,g,7.761,8.81049E-05,molal
160,Ben_160,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0108042,g,7.766,8.6896E-05,molal
161,Ben_161,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0162501,g,7.954,0.000137721,molal
162,Ben_162,,Bhm_tit,154,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0241445,g,8.124,0.000212814,molal
163,Ben_163,,Bhm_tit,203,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.287224,g,,,2.225,4.06443E-06,molal
164,Ben_164,,Bhm_tit,203,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.287224,g,,,2.225,3.55631E-06,molal
165,Ben_165,,Bhm_tit,203,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.287224,g,,,2.225,3.4435E-06,molal
