id,sample,expdataset,sT,sP,comp.H2,unit,comp.H2O,unit,comp.NaCl,unit,phase.Pitzer_NaCl.RHO,unit,error
185,Ar185,Archer_syn,100,300,0.00001,molal,1000,g,1,molal,1.00881,g/cm3,
186,Ar186,Archer_syn,100,400,0.00001,molal,1000,g,1,molal,1.01286,g/cm3,
187,Ar187,Archer_syn,100,500,0.00001,molal,1000,g,1,molal,1.01682,g/cm3,
188,Ar188,Archer_syn,100,600,0.00001,molal,1000,g,1,molal,1.02068,g/cm3,
189,Ar189,Archer_syn,100,700,0.00001,molal,1000,g,1,molal,1.02446,g/cm3,
190,Ar190,Archer_syn,100,800,0.00001,molal,1000,g,1,molal,1.02817,g/cm3,
191,Ar191,Archer_syn,100,900,0.00001,molal,1000,g,1,molal,1.03179,g/cm3,
192,Ar192,Archer_syn,100,1000,0.00001,molal,1000,g,1,molal,1.03535,g/cm3,
193,Ar193,Archer_syn,125,50,0.00001,molal,1000,g,1,molal,0.979803,g/cm3,
194,Ar194,Archer_syn,125,100,0.00001,molal,1000,g,1,molal,0.982136,g/cm3,
195,Ar195,Archer_syn,125,200,0.00001,molal,1000,g,1,molal,0.986696,g/cm3,
196,Ar196,Archer_syn,125,300,0.00001,molal,1000,g,1,molal,0.991123,g/cm3,
197,Ar197,Archer_syn,125,400,0.00001,molal,1000,g,1,molal,0.995426,g/cm3,
198,Ar198,Archer_syn,125,500,0.00001,molal,1000,g,1,molal,0.999614,g/cm3,
199,Ar199,Archer_syn,125,600,0.00001,molal,1000,g,1,molal,1.00369,g/cm3,
200,Ar200,Archer_syn,125,700,0.00001,molal,1000,g,1,molal,1.00767,g/cm3,
201,Ar201,Archer_syn,125,800,0.00001,molal,1000,g,1,molal,1.01156,g/cm3,
202,Ar202,Archer_syn,125,900,0.00001,molal,1000,g,1,molal,1.01535,g/cm3,
203,Ar203,Archer_syn,125,1000,0.00001,molal,1000,g,1,molal,1.01906,g/cm3,
